Player Name,Position,Matchup Light,Offense Light,Vegas Light
Malik Washington,WR,YELLOW,RED,YELLOW
Gabe Davis,WR,#N/A,#N/A,#N/A
Mason Rudolph,QB,YELLOW,YELLOW,YELLOW
Devin Singletary,RB,YELLOW,RED,RED
Demarcus Robinson,WR,GREEN,YELLOW,YELLOW
Deshaun Watson,QB,GREEN,RED,RED
Devontez Walker,WR,GREEN,RED,GREEN
Elijah Mitchell,RB,RED,RED,YELLOW
Tyler Boyd,WR,#N/A,#N/A,#N/A
Jalin Hyatt,WR,GREEN,YELLOW,RED
Kimani Vidal,RB,YELLOW,YELLOW,YELLOW
Rondale Moore,WR,GREEN,GREEN,GREEN
Malachi Corley,WR,YELLOW,YELLOW,RED
Kayshon Boutte,WR,RED,RED,YELLOW
Gus Edwards,RB,#N/A,#N/A,#N/A
Jonathan Mingo,WR,YELLOW,GREEN,GREEN
Kendrick Bourne,WR,RED,RED,YELLOW
Allen Lazard,WR,YELLOW,YELLOW,RED
Khalil Herbert,RB,YELLOW,YELLOW,YELLOW
Alexander Mattison,RB,GREEN,YELLOW,YELLOW
Derek Carr,QB,#N/A,#N/A,#N/A
Isaiah Davis,RB,GREEN,YELLOW,RED
Ty Chandler,RB,YELLOW,YELLOW,GREEN
Tyquan Thornton,WR,RED,YELLOW,YELLOW
Kenneth Gainwell,RB,YELLOW,YELLOW,YELLOW
Treylon Burks,WR,YELLOW,RED,RED
JuJu Smith-Schuster,WR,RED,YELLOW,YELLOW
Jacory Croskey-Merritt,RB,YELLOW,YELLOW,YELLOW
Dont'e Thornton,WR,YELLOW,RED,YELLOW
Skyy Moore,WR,YELLOW,YELLOW,RED
Dustin Hopkins,K,GREEN,RED,GREEN
Jake Bobo,WR,RED,YELLOW,RED
Hayden Hurst,TE,YELLOW,RED,RED
A.T. Perry,WR,YELLOW,RED,RED
Kenny Pickett,QB,GREEN,GREEN,YELLOW
Chad Ryland,K,#N/A,#N/A,#N/A
Durham Smythe,TE,GREEN,GREEN,YELLOW
Darius Slayton,WR,YELLOW,RED,RED
Aidan O'Connell,QB,YELLOW,RED,RED
Jermar Jefferson,RB,YELLOW,GREEN,GREEN
Tre Tucker,WR,GREEN,RED,RED
J.J. Taylor,RB,RED,YELLOW,RED
Deuce Vaughn,RB,RED,RED,GREEN
Andrei Iosivas,WR,RED,GREEN,GREEN
D'Onta Foreman,RB,YELLOW,RED,GREEN
Joshua Dobbs,QB,YELLOW,YELLOW,YELLOW
Elijah Moore,WR,RED,YELLOW,GREEN
Joey Slye,K,YELLOW,RED,GREEN
KaVontae Turpin,WR,RED,GREEN,GREEN
Darnell Washington,TE,GREEN,GREEN,YELLOW
Greg Joseph,K,#N/A,#N/A,#N/A
Isaac Guerendo,RB,RED,YELLOW,YELLOW
Mecole Hardman Jr.,WR,YELLOW,YELLOW,RED
Allen Lazard,WR,YELLOW,GREEN,GREEN
Carson Wentz,QB,RED,YELLOW,RED
Joe Flacco,QB,YELLOW,YELLOW,RED
Cade Stover,TE,YELLOW,RED,RED
Zay Jones,WR,YELLOW,RED,GREEN
K.J. Osborn,WR,YELLOW,RED,GREEN
Cade York,K,GREEN,GREEN,YELLOW
Connor Heyward,TE,GREEN,GREEN,YELLOW
Luke Schoonmaker,TE,RED,YELLOW,GREEN
Donovan Peoples-Jones,WR,RED,GREEN,GREEN
Hendon Hooker,QB,RED,GREEN,GREEN
Equanimeous St. Brown,WR,YELLOW,RED,RED
Daniel Bellinger,TE,GREEN,RED,RED
Brevin Jordan,TE,YELLOW,RED,RED
Brock Wright,TE,RED,YELLOW,GREEN
Dylan Laube,RB,YELLOW,RED,RED
Zach Wilson,QB,GREEN,YELLOW,RED
Jimmy Garoppolo,QB,YELLOW,YELLOW,GREEN
Theo Johnson,TE,GREEN,RED,RED
Kendrick Bourne,WR,YELLOW,RED,GREEN
Jared Wiley,TE,YELLOW,GREEN,RED
Trey Lance,QB,RED,YELLOW,GREEN
DeWayne McBride,RB,#N/A,#N/A,#N/A
Josh Reynolds,WR,YELLOW,YELLOW,RED
Tommy DeVito,QB,YELLOW,RED,RED
Brett Maher,K,#N/A,#N/A,#N/A
Tom Brady,QB,#N/A,#N/A,#N/A
Josh Oliver,TE,YELLOW,YELLOW,RED
D.J. Montgomery,WR,YELLOW,YELLOW,RED
Ainias Smith,WR,YELLOW,YELLOW,YELLOW
Matt Prater,K,YELLOW,YELLOW,GREEN
Tyler Scott,WR,YELLOW,YELLOW,GREEN
Elijah Higgins,TE,YELLOW,GREEN,GREEN
Mo Alie-Cox,TE,RED,RED,RED
Cooper Rush,QB,RED,YELLOW,GREEN
Riley Patterson,K,#N/A,#N/A,#N/A
John Metchie III,WR,GREEN,YELLOW,RED
David Moore,WR,YELLOW,YELLOW,GREEN
Chris Naggar,K,#N/A,#N/A,#N/A
Julio Jones,WR,#N/A,#N/A,#N/A
Davis Allen,TE,RED,RED,GREEN
Ramiz Ahmed,K,#N/A,#N/A,#N/A
Mason Crosby,K,#N/A,#N/A,#N/A
DJ Chark Jr.,WR,YELLOW,YELLOW,RED
Nick Folk,K,YELLOW,YELLOW,RED
Spencer Rattler,QB,GREEN,GREEN,RED
Julian Hill,TE,GREEN,GREEN,YELLOW
Jonathan Mingo,WR,YELLOW,YELLOW,GREEN
Trace McSorley,QB,#N/A,#N/A,#N/A
Tanner Brown,K,#N/A,#N/A,#N/A
Brandon Powell,WR,RED,GREEN,RED
Rasheen Ali,RB,RED,GREEN,YELLOW
Joe Milton III,QB,YELLOW,RED,GREEN
SaRodorick Thompson Jr.,RB,#N/A,#N/A,#N/A
Johnny Wilson,WR,YELLOW,YELLOW,YELLOW
Anthony McFarland Jr.,RB,#N/A,#N/A,#N/A
Mac Jones,QB,YELLOW,RED,RED
Jacob Saylors,RB,#N/A,#N/A,#N/A
Lucas Havrisik,K,#N/A,#N/A,#N/A
Tyson Bagent,QB,YELLOW,YELLOW,GREEN
Jaren Hall,QB,#N/A,#N/A,#N/A
Nathan Rourke,QB,#N/A,#N/A,#N/A
Christopher Dunn,K,#N/A,#N/A,#N/A
Bo Melton,WR,GREEN,GREEN,RED
Robert Woods,WR,GREEN,YELLOW,RED
Ty,,#N/A,#N/A,#N/A
Rodrigo Blankenship,,#N/A,#N/A,#N/A
Anthony Jones,,#N/A,#N/A,#N/A
K.J. Costello,,#N/A,#N/A,#N/A
Carolina Panthers,,RED,#REF!,GREEN
Gerald Everett,,YELLOW,RED,GREEN
Charlie Taumoepeau,,#N/A,#N/A,#N/A
C.J. Ham,,YELLOW,YELLOW,RED
Andy Dalton,,GREEN,RED,GREEN
Cordarrelle Patterson,,RED,YELLOW,YELLOW
Max Duggan,,#N/A,#N/A,#N/A
Dylan McDuffie,,#N/A,#N/A,#N/A
Derius Davis,,YELLOW,YELLOW,RED
Josh Lambo,,#N/A,#N/A,#N/A
Lucky Jackson,,RED,GREEN,RED
Michael Wiley,,YELLOW,GREEN,YELLOW
Tanner Hudson,,YELLOW,YELLOW,GREEN
Kyle Allen,,YELLOW,YELLOW,YELLOW
Grant Calcaterra,,YELLOW,YELLOW,YELLOW
Anthony Brown Jr.,,#N/A,#N/A,#N/A
MyCole Pruitt,,GREEN,GREEN,YELLOW
Matt Barkley,,#N/A,#N/A,#N/A
Derek Watt,,#N/A,#N/A,#N/A
Jon Hilliman,,#N/A,#N/A,#N/A
Jazz Ferguson,,#N/A,#N/A,#N/A
Jalen Virgil,,RED,YELLOW,GREEN
Matt Ryan,,#N/A,#N/A,#N/A
Jhamon Ausbon,,#N/A,#N/A,#N/A
James White,,#N/A,#N/A,#N/A
Eddy Pineiro,,YELLOW,RED,GREEN
Armani Rogers,,#N/A,#N/A,#N/A
Ethan Fernea,,#N/A,#N/A,#N/A
Jalen Brooks,,RED,GREEN,GREEN
Patrick Ricard,,RED,GREEN,YELLOW
Adam Trautman,,GREEN,RED,RED
Eric Tomlinson,,YELLOW,RED,RED
J.D. McKissic,,#N/A,#N/A,#N/A
Trenton Irwin,,RED,GREEN,GREEN
Van Jefferson,,YELLOW,RED,YELLOW
Kalif Raymond,,RED,GREEN,GREEN
Corey Clement,,#N/A,#N/A,#N/A
Patrick Taylor Jr.,,RED,YELLOW,YELLOW
Josh Pederson,,#N/A,#N/A,#N/A
AJ Barner,,YELLOW,RED,RED
Britain Covey,,YELLOW,YELLOW,YELLOW
Austin Hooper,,RED,GREEN,GREEN
Peter LeBlanc,,#N/A,#N/A,#N/A
Tim Patrick,,RED,GREEN,GREEN
Eli Stove,,#N/A,#N/A,#N/A
Michael Gallup,,#N/A,#N/A,#N/A
Caleb Huntley,,#N/A,#N/A,#N/A
Calvin Austin III,,YELLOW,RED,YELLOW
Peyton Hendershot,,YELLOW,GREEN,RED
Clayton Thorson,,#N/A,#N/A,#N/A
Nick Sciba,,#N/A,#N/A,#N/A
Cole McDonald,,#N/A,#N/A,#N/A
Ronnie Bell,,GREEN,YELLOW,YELLOW
Raheem Blackshear,,YELLOW,YELLOW,GREEN
Michael Pratt,,GREEN,GREEN,GREEN
Malcolm Brown,,#N/A,#N/A,#N/A
Pharaoh Brown,,YELLOW,RED,RED
Nick Foles,,#N/A,#N/A,#N/A
Alec Pierce,,YELLOW,YELLOW,RED
Sione Vaki,,YELLOW,GREEN,GREEN
Byron Pringle,,GREEN,YELLOW,YELLOW
Leonard Fournette,,#N/A,#N/A,#N/A
Jeff Wilson Jr.,,RED,YELLOW,YELLOW
Skylar Thompson,,YELLOW,YELLOW,YELLOW
Stetson Bennett,,YELLOW,YELLOW,GREEN
Albert Okwuegbunam Jr.,,YELLOW,YELLOW,YELLOW
Dante Miller,,GREEN,RED,RED
Nelson Agholor,,GREEN,YELLOW,YELLOW
Jacoby Brissett,,YELLOW,RED,GREEN
Velus Jones Jr.,,YELLOW,YELLOW,GREEN
Tylan Wallace,,GREEN,YELLOW,YELLOW
Drew Sample,,YELLOW,YELLOW,GREEN
Robbie Gould,,#N/A,#N/A,#N/A
Treylon Burks,,GREEN,RED,RED
Mack Hollins,,RED,YELLOW,GREEN
Travis Homer,,YELLOW,YELLOW,GREEN
Keaontay Ingram,,YELLOW,RED,RED
Johnny Mundt,,YELLOW,YELLOW,RED
Ben DiNucci,,#N/A,#N/A,#N/A
Jordan Travis,,YELLOW,YELLOW,GREEN
DeeJay Dallas,,YELLOW,YELLOW,GREEN
Craig Reynolds,,YELLOW,GREEN,GREEN
Brandon Allen,,YELLOW,YELLOW,YELLOW
Israel Abanikanda,,GREEN,YELLOW,GREEN
Charlie Jones,,RED,GREEN,GREEN
Chris Conley,,GREEN,YELLOW,YELLOW
Devin Leary,,YELLOW,GREEN,YELLOW
Tommy Tremble,,GREEN,RED,GREEN
Tutu Atwell,,YELLOW,GREEN,GREEN
Irv Smith Jr.,,#N/A,#N/A,#N/A
Shane Zylstra,,RED,YELLOW,GREEN
Cornelius Johnson,,YELLOW,YELLOW,RED
Sean Clifford,,RED,YELLOW,RED
Dante Pettis,,YELLOW,YELLOW,GREEN
Alec Ingold,,RED,YELLOW,YELLOW
Jalen Nailor,,RED,GREEN,RED
Ty Johnson,,YELLOW,GREEN,GREEN
Jashaun Corbin,,#N/A,#N/A,#N/A
Jha'Quan Jackson,,GREEN,RED,RED
Binjimen Victor,,#N/A,#N/A,#N/A
Malik Heath,,GREEN,GREEN,RED
Parris Campbell,,YELLOW,YELLOW,YELLOW
Ryan Flournoy,,RED,GREEN,GREEN
Jake Funk,,#N/A,#N/A,#N/A
Carson Strong,,#N/A,#N/A,#N/A
Sam Howell,,RED,YELLOW,RED
Justyn Ross,,YELLOW,YELLOW,RED
Malik Willis,,RED,YELLOW,RED
Will Mallory,,RED,RED,RED
Cole Fotheringham,,YELLOW,RED,RED
Trey Palmer,,YELLOW,GREEN,GREEN
Deneric Prince,,RED,YELLOW,YELLOW
Isaiah Williams,,RED,GREEN,GREEN
Tejhaun Palmer,,YELLOW,RED,GREEN
Caleb Shudak,,#N/A,#N/A,#N/A
Ameer Abdullah,,YELLOW,RED,RED
Trishton Jackson,,RED,GREEN,RED
Bailey Zappe,,RED,YELLOW,RED
Kareem Hunt,,YELLOW,RED,RED
Stanley Berryhill,,#N/A,#N/A,#N/A
Frank Gore Jr.,,YELLOW,GREEN,GREEN
Jake Browning,,RED,GREEN,GREEN
Jarrett Stidham,,GREEN,YELLOW,RED
Marcedes Lewis,,YELLOW,RED,GREEN
Kene Nwangwu,,#N/A,#N/A,#N/A
Marquez Valdes-Scantling,,YELLOW,RED,RED
Khari Blasingame,,YELLOW,YELLOW,GREEN
Matthew Wright,,#N/A,#N/A,#N/A
River Cracraft,,GREEN,RED,YELLOW
Ryan Succop,,#N/A,#N/A,#N/A
Curtis Hodges,,#N/A,#N/A,#N/A
Jake Tonges,,RED,GREEN,YELLOW
Kevin Harris,,RED,YELLOW,GREEN
Xavier Weaver,,YELLOW,RED,GREEN
Mitchell Trubisky,,YELLOW,GREEN,GREEN
